iter	Passed	Remaining
441	1299	1640
442	1301	1636
443	1303	1631
444	1305	1627
445	1306	1623
446	1308	1618
447	1309	1613
448	1314	1612
449	1315	1608
450	1317	1603
451	1318	1598
452	1319	1593
453	1320	1588
454	1322	1583
455	1323	1578
456	1324	1574
457	1329	1573
458	1330	1568
459	1332	1563
460	1333	1559
461	1334	1554
462	1336	1549
463	1337	1544
464	1338	1540
465	1339	1535
466	1344	1534
467	1345	1529
468	1347	1525
469	1348	1520
470	1349	1515
471	1350	1511
472	1352	1506
473	1353	1501
474	1354	1497
475	1358	1495
476	1359	1491
477	1361	1486
478	1362	1482
479	1364	1477
480	1365	1473
481	1366	1468
482	1367	1464
483	1369	1459
484	1374	1459
485	1375	1454
486	1376	1450
487	1378	1445
488	1379	1441
489	1380	1437
490	1381	1432
491	1383	1428
492	1384	1423
493	1390	1424
494	1392	1420
495	1394	1416
496	1395	1412
497	1396	1408
498	1398	1403
499	1399	1399
500	1405	1399
501	1406	1395
502	1408	1391
503	1409	1386
504	1410	1382
505	1411	1378
506	1413	1374
507	1414	1369
508	1419	1369
509	1420	1365
510	1422	1361
511	1423	1357
512	1425	1353
513	1426	1348
514	1427	1344
515	1428	1340
516	1433	1339
517	1434	1335
518	1436	1331
519	1437	1326
520	1438	1322
521	1439	1318
522	1441	1314
523	1442	1310
524	1443	1306
525	1448	1305
526	1449	1301
527	1451	1297
528	1452	1293
529	1453	1289
530	1454	1285
531	1456	1281
532	1457	1277
533	1458	1272
534	1464	1272
535	1465	1268
536	1467	1264
537	1468	1261
538	1469	1257
539	1471	1253
540	1472	1249
541	1473	1245
542	1479	1244
543	1480	1241
544	1481	1237
545	1482	1233
546	1484	1229
547	1485	1225
548	1487	1221
549	1488	1217
550	1489	1213
551	1493	1212
552	1495	1208
553	1496	1205
554	1498	1201
555	1499	1197
556	1501	1193
557	1502	1190
558	1503	1186
559	1504	1182
560	1507	1179
561	1508	1175
562	1509	1171
563	1511	1168
564	1512	1164
565	1513	1160
566	1514	1156
567	1516	1153
568	1517	1149
569	1521	1147
570	1523	1144
571	1524	1140
572	1525	1137
573	1527	1133
574	1528	1129
575	1529	1126
576	1530	1122
577	1532	1118
578	1536	1117
579	1537	1113
580	1539	1110
581	1540	1106
582	1541	1102
583	1543	1099
584	1544	1095
585	1545	1091
586	1546	1088
587	1551	1087
588	1553	1083
589	1554	1080
590	1555	1076
591	1556	1072
592	1558	1069
593	1559	1065
594	1560	1062
595	1561	1058
596	1567	1057
597	1568	1054
598	1569	1051
599	1571	1047
600	1572	1044
601	1574	1040
602	1575	1037
603	1576	1033
604	1581	1032
605	1583	1029
606	1584	1025
607	1585	1022
